,station_id,hour,usage
0,3000,0,7
1,3000,1,1
2,3000,2,3
3,3000,5,3
4,3000,6,6
5,3000,7,28
6,3000,8,56
7,3000,9,118
8,3000,10,216
9,3000,11,252
10,3000,12,328
11,3000,13,282
12,3000,14,321
13,3000,15,251
14,3000,16,148
15,3000,17,80
16,3000,18,42
17,3000,19,38
18,3000,20,17
19,3000,21,15
20,3000,22,13
21,3000,23,1
22,3005,0,973
23,3005,1,571
24,3005,2,345
25,3005,3,201
26,3005,4,146
27,3005,5,299
28,3005,6,511
29,3005,7,1216
30,3005,8,3170
31,3005,9,2992
32,3005,10,3274
33,3005,11,4590
34,3005,12,5606
35,3005,13,5347
36,3005,14,4649
37,3005,15,4515
38,3005,16,5038
39,3005,17,7064
40,3005,18,7579
41,3005,19,6331
42,3005,20,4891
43,3005,21,3656
44,3005,22,2424
45,3005,23,1513
46,3006,0,455
47,3006,1,287
48,3006,2,187
49,3006,3,93
50,3006,4,133
51,3006,5,163
52,3006,6,313
53,3006,7,698
54,3006,8,1330
55,3006,9,1480
56,3006,10,1569
57,3006,11,2280
58,3006,12,2909
59,3006,13,3110
60,3006,14,2849
61,3006,15,2744
62,3006,16,2589
63,3006,17,3144
64,3006,18,3388
65,3006,19,3113
66,3006,20,2594
67,3006,21,1782
68,3006,22,1113
69,3006,23,647
70,3007,0,134
71,3007,1,108
72,3007,2,62
73,3007,3,30
74,3007,4,38
75,3007,5,40
76,3007,6,166
77,3007,7,307
78,3007,8,532
79,3007,9,769
80,3007,10,1168
81,3007,11,2015
82,3007,12,2484
83,3007,13,2218
84,3007,14,1916
85,3007,15,2041
86,3007,16,2347
87,3007,17,3102
88,3007,18,2338
89,3007,19,1890
90,3007,20,1400
91,3007,21,727
92,3007,22,392
93,3007,23,222
94,3008,0,571
95,3008,1,275
96,3008,2,170
97,3008,3,84
98,3008,4,45
99,3008,5,65
100,3008,6,112
101,3008,7,359
102,3008,8,621
103,3008,9,712
104,3008,10,944
105,3008,11,1340
106,3008,12,2048
107,3008,13,1647
108,3008,14,1498
109,3008,15,1597
110,3008,16,1912
111,3008,17,2590
112,3008,18,2031
113,3008,19,1754
