,station_id,day,usage
0,3000,1,33
1,3000,2,60
2,3000,3,77
3,3000,4,31
4,3000,5,39
5,3000,6,65
6,3000,7,46
7,3000,8,219
8,3000,9,42
9,3000,10,238
10,3000,11,38
11,3000,12,37
12,3000,13,20
13,3000,14,37
14,3000,15,44
15,3000,16,37
16,3000,17,30
17,3000,18,162
18,3000,19,21
19,3000,20,25
20,3000,21,37
21,3000,22,17
22,3000,23,26
23,3000,24,46
24,3000,25,39
25,3000,26,24
26,3000,27,37
27,3000,28,73
28,3000,29,36
29,3000,30,579
30,3000,31,11
31,3005,1,2521
32,3005,2,2703
33,3005,3,2495
34,3005,4,2396
35,3005,5,2429
36,3005,6,2556
37,3005,7,2596
38,3005,8,2505
39,3005,9,2506
40,3005,10,2663
41,3005,11,2578
42,3005,12,2557
43,3005,13,2489
44,3005,14,2413
45,3005,15,2503
46,3005,16,2503
47,3005,17,2483
48,3005,18,2599
49,3005,19,2564
50,3005,20,2509
51,3005,21,2586
52,3005,22,2470
53,3005,23,2444
54,3005,24,2330
55,3005,25,2361
56,3005,26,2615
57,3005,27,2554
58,3005,28,2646
59,3005,29,2302
60,3005,30,2503
61,3005,31,1522
62,3006,1,1262
63,3006,2,1274
64,3006,3,1153
65,3006,4,1213
66,3006,5,1176
67,3006,6,1246
68,3006,7,1240
69,3006,8,1245
70,3006,9,1244
71,3006,10,1287
72,3006,11,1318
73,3006,12,1213
74,3006,13,1219
75,3006,14,1287
76,3006,15,1310
77,3006,16,1353
78,3006,17,1248
79,3006,18,1244
80,3006,19,1326
81,3006,20,1242
82,3006,21,1393
83,3006,22,1257
84,3006,23,1309
85,3006,24,1275
86,3006,25,1266
87,3006,26,1303
88,3006,27,1430
89,3006,28,1278
90,3006,29,1323
91,3006,30,1287
92,3006,31,749
93,3007,1,869
94,3007,2,899
95,3007,3,874
96,3007,4,808
97,3007,5,873
98,3007,6,924
99,3007,7,916
100,3007,8,851
101,3007,9,835
102,3007,10,864
103,3007,11,899
104,3007,12,904
105,3007,13,917
106,3007,14,947
107,3007,15,877
108,3007,16,836
109,3007,17,856
110,3007,18,907
111,3007,19,830
112,3007,20,892
113,3007,21,871
114,3007,22,822
115,3007,23,810
116,3007,24,788
117,3007,25,813
118,3007,26,854
119,3007,27,873
120,3007,28,870
121,3007,29,810
122,3007,30,837
123,3007,31,520
124,3008,1,800
125,3008,2,858
126,3008,3,826
127,3008,4,796
128,3008,5,818
129,3008,6,815
130,3008,7,771
131,3008,8,796
132,3008,9,832
133,3008,10,847
134,3008,11,832
135,3008,12,816
136,3008,13,873
137,3008,14,742
138,3008,15,797
139,3008,16,779
140,3008,17,818
141,3008,18,784
142,3008,19,810
143,3008,20,813
144,3008,21,774
145,3008,22,799
146,3008,23,821
147,3008,24,803
148,3008,25,755
149,3008,26,810
150,3008,27,820
151,3008,28,781
152,3008,29,783
153,3008,30,705
154,3008,31,506
155,3010,1,143
156,3010,2,121
157,3010,3,141
158,3010,4,124
159,3010,5,127
160,3010,6,144
161,3010,7,144
162,3010,8,122
163,3010,9,149
164,3010,10,128
165,3010,11,139
166,3010,12,169
167,3010,13,146
168,3010,14,122
169,3010,15,138
170,3010,16,143
171,3010,17,147
172,3010,18,148
173,3010,19,156
174,3010,20,154
175,3010,21,160
176,3010,22,113
177,3010,23,134
178,3010,24,138
179,3010,25,136
180,3010,26,134
181,3010,27,146
182,3010,28,139
183,3010,29,130
184,3010,30,152
185,3010,31,61
186,3011,1,471
187,3011,2,475
188,3011,3,478
189,3011,4,438
190,3011,5,470
191,3011,6,493
192,3011,7,445
193,3011,8,453
194,3011,9,513
195,3011,10,419
196,3011,11,421
197,3011,12,446
198,3011,13,429
199,3011,14,448
200,3011,15,527
201,3011,16,422
202,3011,17,484
203,3011,18,380
204,3011,19,385
205,3011,20,368
206,3011,21,423
207,3011,22,427
208,3011,23,449
209,3011,24,448
210,3011,25,461
211,3011,26,427
212,3011,27,438
213,3011,28,406
214,3011,29,423
215,3011,30,381
216,3011,31,209
217,3013,1,6
218,3013,2,19
219,3013,3,8
220,3013,4,9
221,3013,5,10
222,3013,6,4
223,3013,7,5
224,3013,8,2
225,3013,9,6
226,3013,10,12
227,3013,11,10
228,3013,12,2
229,3013,13,53
230,3013,14,4
231,3013,15,7
232,3013,16,2
233,3013,17,6
234,3013,18,1
235,3013,19,6
236,3013,20,6
237,3013,21,6
238,3013,22,7
239,3013,23,6
240,3013,24,6
241,3013,25,4
242,3013,26,13
243,3013,27,11
244,3013,28,43
245,3013,29,7
246,3013,30,7
247,3013,31,7
248,3014,1,1218
249,3014,2,1325
250,3014,3,1408
251,3014,4,1294
252,3014,5,1465
253,3014,6,1450
254,3014,7,1332
255,3014,8,1393
256,3014,9,1359
257,3014,10,1417
258,3014,11,1482
259,3014,12,1442
260,3014,13,1433
261,3014,14,1364
262,3014,15,1297
263,3014,16,1377
264,3014,17,1398
265,3014,18,1496
266,3014,19,1495
267,3014,20,1381
268,3014,21,1339
269,3014,22,1314
270,3014,23,1257
271,3014,24,1345
272,3014,25,1321
273,3014,26,1463
274,3014,27,1334
275,3014,28,1339
276,3014,29,1249
277,3014,30,1338
278,3014,31,794
279,3016,1,332
280,3016,2,358
281,3016,3,337
282,3016,4,359
283,3016,5,378
284,3016,6,364
285,3016,7,376
286,3016,8,363
287,3016,9,380
288,3016,10,386
289,3016,11,390
290,3016,12,363
291,3016,13,403
292,3016,14,367
293,3016,15,329
294,3016,16,355
295,3016,17,371
296,3016,18,388
297,3016,19,392
298,3016,20,365
299,3016,21,362
300,3016,22,357
301,3016,23,362
302,3016,24,358
303,3016,25,333
304,3016,26,378
305,3016,27,420
306,3016,28,357
307,3016,29,318
308,3016,30,344
309,3016,31,229
310,3018,1,560
311,3018,2,529
312,3018,3,523
313,3018,4,578
314,3018,5,568
315,3018,6,538
316,3018,7,572
317,3018,8,570
318,3018,9,557
319,3018,10,560
320,3018,11,550
321,3018,12,509
322,3018,13,581
323,3018,14,545
324,3018,15,617
325,3018,16,517
326,3018,17,597
327,3018,18,605
328,3018,19,540
329,3018,20,554
330,3018,21,594
331,3018,22,649
332,3018,23,534
333,3018,24,584
334,3018,25,521
335,3018,26,597
336,3018,27,525
337,3018,28,564
338,3018,29,506
339,3018,30,456
340,3018,31,321
341,3019,1,591
342,3019,2,542
343,3019,3,579
344,3019,4,572
345,3019,5,589
346,3019,6,564
347,3019,7,572
348,3019,8,584
349,3019,9,582
350,3019,10,609
351,3019,11,592
352,3019,12,573
353,3019,13,593
354,3019,14,552
355,3019,15,534
356,3019,16,567
357,3019,17,552
358,3019,18,602
359,3019,19,587
360,3019,20,552
361,3019,21,576
362,3019,22,613
363,3019,23,537
364,3019,24,539
365,3019,25,545
366,3019,26,576
367,3019,27,586
368,3019,28,573
369,3019,29,527
370,3019,30,551
371,3019,31,334
372,3020,1,146
373,3020,2,133
374,3020,3,157
375,3020,4,132
376,3020,5,131
377,3020,6,141
378,3020,7,134
379,3020,8,144
380,3020,9,138
381,3020,10,133
382,3020,11,146
383,3020,12,139
384,3020,13,157
385,3020,14,130
386,3020,15,139
387,3020,16,153
388,3020,17,141
389,3020,18,126
390,3020,19,152
391,3020,20,139
392,3020,21,115
393,3020,22,127
394,3020,23,133
395,3020,24,159
396,3020,25,126
397,3020,26,123
398,3020,27,135
399,3020,28,141
400,3020,29,110
401,3020,30,156
402,3020,31,81
403,3022,1,802
404,3022,2,851
405,3022,3,810
406,3022,4,812
407,3022,5,819
408,3022,6,890
409,3022,7,864
410,3022,8,823
411,3022,9,820
412,3022,10,901
413,3022,11,840
414,3022,12,813
415,3022,13,850
416,3022,14,800
417,3022,15,802
418,3022,16,830
